
1* Interacao:
Posicao: [499, 50, 10, 1, 0.2097] -> Acuracia: 99.0%, Precisao: 99.7%, Recall: 92.4%, Performance: 97.0%
Posicao: [447, 50, 11, 1, 0.2466] -> Acuracia: 98.9%, Precisao: 99.4%, Recall: 92.2%, Performance: 96.8%
Posicao: [500, 50, 2, 1, 0.1] -> Acuracia: 98.1%, Precisao: 100.0%, Recall: 85.4%, Performance: 94.5%
Posicao: [500, 50, 50, 1, 0.9438] -> Acuracia: 97.6%, Precisao: 90.6%, Recall: 90.6%, Performance: 92.9%

6* Interacao:
Posicao: [500, 44, 3, 15, 1] -> Acuracia: 97.3%, Precisao: 91.4%, Recall: 88.7%, Performance: 92.5%
Posicao: [358, 49, 6, 3, 0.807] -> Acuracia: 99.1%, Precisao: 99.5%, Recall: 93.8%, Performance: 97.5%
Posicao: [500, 50, 2, 1, 0.2458] -> Acuracia: 98.9%, Precisao: 100.0%, Recall: 92.1%, Performance: 97.0%
Posicao: [422, 50, 6, 1, 0.7237] -> Acuracia: 99.1%, Precisao: 99.7%, Recall: 93.8%, Performance: 97.5%
Posicao: [297, 48, 2, 1, 1] -> Acuracia: 97.6%, Precisao: 100.0%, Recall: 82.0%, Performance: 93.2%
Posicao: [422, 29, 30, 7, 0.6044] -> Acuracia: 98.7%, Precisao: 96.9%, Recall: 93.1%, Performance: 96.2%
Posicao: [415, 50, 8, 1, 0.6883] -> Acuracia: 99.2%, Precisao: 100.0%, Recall: 93.8%, Performance: 97.7%
Posicao: [432, 50, 7, 1, 0.5111] -> Acuracia: 99.2%, Precisao: 100.0%, Recall: 93.8%, Performance: 97.7%
Posicao: [481, 50, 2, 1, 0.7728] -> Acuracia: 99.1%, Precisao: 99.7%, Recall: 93.3%, Performance: 97.4%
Posicao: [450, 47, 47, 1, 0.686] -> Acuracia: 98.0%, Precisao: 92.2%, Recall: 93.1%, Performance: 94.4%

7* Interacao:
Posicao: [500, 44, 6, 10, 1] -> Acuracia: 97.9%, Precisao: 93.7%, Recall: 93.3%, Performance: 95.0%
Posicao: [380, 50, 9, 2, 0.8777] -> Acuracia: 98.7%, Precisao: 98.4%, Recall: 93.3%, Performance: 96.8%
Posicao: [500, 50, 5, 1, 0.4273] -> Acuracia: 98.9%, Precisao: 100.0%, Recall: 93.1%, Performance: 97.3%
Posicao: [360, 50, 2, 1, 1] -> Acuracia: 98.1%, Precisao: 100.0%, Recall: 87.8%, Performance: 95.3%
Posicao: [266, 47, 4, 1, 1] -> Acuracia: 98.3%, Precisao: 100.0%, Recall: 89.3%, Performance: 95.9%
Posicao: [415, 32, 26, 6, 0.5689] -> Acuracia: 98.2%, Precisao: 95.9%, Recall: 92.6%, Performance: 95.6%
Posicao: [372, 50, 7, 1, 0.9352] -> Acuracia: 98.6%, Precisao: 99.1%, Recall: 92.2%, Performance: 96.6%
Posicao: [418, 50, 5, 1, 0.7181] -> Acuracia: 98.8%, Precisao: 99.5%, Recall: 92.6%, Performance: 97.0%
Posicao: [401, 50, 6, 1, 1] -> Acuracia: 98.6%, Precisao: 100.0%, Recall: 90.9%, Performance: 96.5%
Posicao: [399, 44, 42, 1, 0.4388] -> Acuracia: 98.2%, Precisao: 94.9%, Recall: 93.7%, Performance: 95.6%

8* Interacao:
Posicao: [500, 45, 9, 5, 1] -> Acuracia: 98.4%, Precisao: 99.7%, Recall: 86.9%, Performance: 95.0%
Posicao: [389, 50, 8, 2, 0.8138] -> Acuracia: 98.9%, Precisao: 99.4%, Recall: 91.6%, Performance: 96.6%
Posicao: [500, 50, 7, 1, 0.5767] -> Acuracia: 98.7%, Precisao: 100.0%, Recall: 89.6%, Performance: 96.1%
Posicao: [433, 50, 9, 1, 0.7318] -> Acuracia: 98.9%, Precisao: 99.7%, Recall: 91.3%, Performance: 96.6%
Posicao: [330, 48, 8, 1, 1] -> Acuracia: 97.9%, Precisao: 100.0%, Recall: 83.1%, Performance: 93.7%
