1* Interacao:
Posicao: [8.614, 456, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.7217, 500, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.1737, 368, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.0588, 464, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.7119, 337, 1, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.9955, 424, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

6* Interacao:
Posicao: [8.5306, 408, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [6.5709, 370, 1, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [9.0583, 446, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [5.8716, 366, 0, 0] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [7.9841, 419, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.1221, 374, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.5111, 374, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [9.29, 455, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [8.2199, 422, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [7.923, 406, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

Melhor Posicao: [8.7207, 445, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%

7* Interacao:
Posicao: [9.3301, 360, 0, 1] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
