1* Interacao:
Posicao: [421, 0.2538, 11, 0.7851, 0.8929, 4, 3, 6, 10] -> Acuracia: 72.2%, Precisao: 61.1%, Recall: 55.0%, Performance: 59.2%
Posicao: [463, 0.2648, 12, 0.7299, 0.9466, 4, 2, 4, 10] -> Acuracia: 72.2%, Precisao: 60.5%, Recall: 57.5%, Performance: 60.5%
Posicao: [528, 0.3, 12, 0.8587, 0.754, 5, 4, 3, 10] -> Acuracia: 73.9%, Precisao: 64.7%, Recall: 55.0%, Performance: 60.5%
Posicao: [411, 0.2601, 10, 0.734, 0.8123, 4, 3, 6, 9] -> Acuracia: 74.8%, Precisao: 65.7%, Recall: 57.5%, Performance: 62.3%
Posicao: [715, 0.1535, 12, 0.6402, 0.9209, 5, 7, 7, 10] -> Acuracia: 69.6%, Precisao: 57.1%, Recall: 50.0%, Performance: 54.8%
Posicao: [389, 0.283, 10, 0.7686, 0.8806, 4, 4, 6, 10] -> Acuracia: 70.4%, Precisao: 58.8%, Recall: 50.0%, Performance: 55.4%

Melhor Posicao: [430, 0.2628, 11, 0.7265, 0.8169, 4, 3, 5, 9] -> Acuracia: 75.7%, Precisao: 66.7%, Recall: 60.0%, Performance: 64.2%

5* Interacao:
Posicao: [480, 0.2769, 12, 0.7318, 0.7773, 3, 4, 5, 10] -> Acuracia: 75.7%, Precisao: 66.7%, Recall: 60.0%, Performance: 64.2%
Posicao: [810, 0.3, 11, 0.5, 0.732, 3, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [758, 0.2448, 11, 0.6866, 0.6778, 3, 6, 3, 9] -> Acuracia: 73.9%, Precisao: 64.7%, Recall: 55.0%, Performance: 60.5%
Posicao: [734, 0.2551, 12, 0.6309, 0.8089, 4, 3, 3, 10] -> Acuracia: 73.9%, Precisao: 63.9%, Recall: 57.5%, Performance: 61.7%
Posicao: [556, 0.3, 12, 0.5971, 0.7842, 4, 1, 2, 10] -> Acuracia: 73.0%, Precisao: 62.2%, Recall: 57.5%, Performance: 61.1%
Posicao: [750, 0.2448, 9, 0.5677, 0.6664, 2, 2, 2, 8] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [548, 0.292, 12, 0.7163, 0.7788, 4, 2, 3, 10] -> Acuracia: 74.8%, Precisao: 65.7%, Recall: 57.5%, Performance: 62.3%
Posicao: [455, 0.2643, 11, 0.7029, 0.7926, 4, 3, 5, 10] -> Acuracia: 73.9%, Precisao: 63.9%, Recall: 57.5%, Performance: 61.7%
Posicao: [640, 0.3, 12, 0.5729, 0.7217, 4, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 63.2%, Recall: 60.0%, Performance: 62.9%
Posicao: [456, 0.2596, 10, 0.7231, 0.8079, 4, 3, 5, 10] -> Acuracia: 73.9%, Precisao: 64.7%, Recall: 55.0%, Performance: 60.5%

Melhor Posicao: [810, 0.3, 11, 0.5, 0.732, 3, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%

6* Interacao:
Posicao: [644, 0.2657, 12, 0.6282, 0.707, 2, 4, 2, 10] -> Acuracia: 73.9%, Precisao: 63.2%, Recall: 60.0%, Performance: 62.9%
Posicao: [900, 0.3, 11, 0.5, 0.7181, 3, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 65.0%, Recall: 65.0%, Performance: 66.5%
Posicao: [943, 0.2689, 11, 0.5432, 0.667, 2, 2, 0, 10] -> Acuracia: 72.2%, Precisao: 59.5%, Recall: 62.5%, Performance: 63.0%
Posicao: [898, 0.2377, 12, 0.6315, 0.8508, 4, 4, 3, 10] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
Posicao: [772, 0.3, 12, 0.5, 0.6848, 4, 0, 0, 10] -> Acuracia: 72.2%, Precisao: 60.0%, Recall: 60.0%, Performance: 61.7%
Posicao: [1000, 0.2903, 9, 0.5, 0.5115, 2, 0, 0, 9] -> Acuracia: 71.3%, Precisao: 57.4%, Recall: 67.5%, Performance: 65.2%
Posicao: [716, 0.2881, 12, 0.5, 0.7756, 3, 0, 2, 10] -> Acuracia: 72.2%, Precisao: 60.5%, Recall: 57.5%, Performance: 60.5%
Posicao: [701, 0.2848, 11, 0.5892, 0.7562, 3, 1, 2, 10] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [623, 0.3, 12, 0.5105, 0.5697, 3, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%
Posicao: [578, 0.2628, 11, 0.594, 0.6488, 3, 1, 2, 10] -> Acuracia: 73.9%, Precisao: 63.2%, Recall: 60.0%, Performance: 62.9%

Melhor Posicao: [623, 0.3, 12, 0.5105, 0.5697, 3, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%

7* Interacao:
Posicao: [722, 0.2752, 12, 0.52, 0.6076, 2, 2, 0, 10] -> Acuracia: 75.7%, Precisao: 65.0%, Recall: 65.0%, Performance: 66.5%
Posicao: [942, 0.3, 11, 0.5, 0.7073, 3, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%
Posicao: [540, 0.3, 12, 0.5, 0.6162, 3, 0, 0, 10] -> Acuracia: 71.3%, Precisao: 58.5%, Recall: 60.0%, Performance: 61.2%
Posicao: [940, 0.2394, 12, 0.6094, 0.8223, 4, 4, 2, 10] -> Acuracia: 75.7%, Precisao: 66.7%, Recall: 60.0%, Performance: 64.2%
Posicao: [916, 0.3, 12, 0.5, 0.6104, 4, 0, 0, 10] -> Acuracia: 73.0%, Precisao: 62.2%, Recall: 57.5%, Performance: 61.1%
Posicao: [1000, 0.3, 9, 0.5, 0.5, 2, 0, 0, 9] -> Acuracia: 73.9%, Precisao: 60.9%, Recall: 70.0%, Performance: 68.0%
Posicao: [897, 0.2862, 12, 0.5, 0.7387, 2, 0, 1, 9] -> Acuracia: 73.0%, Precisao: 61.0%, Recall: 62.5%, Performance: 63.6%
Posicao: [936, 0.3, 10, 0.5, 0.6472, 2, 0, 0, 9] -> Acuracia: 69.6%, Precisao: 56.1%, Recall: 57.5%, Performance: 58.8%
Posicao: [787, 0.3, 11, 0.5, 0.5, 2, 0, 0, 9] -> Acuracia: 71.3%, Precisao: 58.1%, Recall: 62.5%, Performance: 62.5%
Posicao: [793, 0.2768, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%

Melhor Posicao: [793, 0.2768, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%

8* Interacao:
Posicao: [883, 0.2858, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 64.3%, Recall: 67.5%, Performance: 67.8%
Posicao: [912, 0.3, 11, 0.5, 0.6294, 3, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 65.0%, Recall: 65.0%, Performance: 66.5%
Posicao: [438, 0.2974, 11, 0.5471, 0.5504, 3, 0, 2, 10] -> Acuracia: 69.6%, Precisao: 56.4%, Recall: 55.0%, Performance: 57.5%
Posicao: [944, 0.2453, 12, 0.5823, 0.7632, 4, 3, 1, 10] -> Acuracia: 73.0%, Precisao: 62.9%, Recall: 55.0%, Performance: 59.8%
Posicao: [952, 0.3, 12, 0.5, 0.5761, 4, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 66.7%, Recall: 60.0%, Performance: 64.2%
Posicao: [943, 0.297, 10, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 73.0%, Precisao: 60.0%, Recall: 67.5%, Performance: 66.1%
Posicao: [1000, 0.2826, 12, 0.5, 0.6569, 1, 0, 0, 9] -> Acuracia: 72.2%, Precisao: 60.0%, Recall: 60.0%, Performance: 61.7%
Posicao: [909, 0.2955, 10, 0.5, 0.6089, 2, 0, 0, 9] -> Acuracia: 69.6%, Precisao: 55.6%, Recall: 62.5%, Performance: 61.5%
Posicao: [792, 0.3, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [936, 0.2861, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 74.8%, Precisao: 64.1%, Recall: 62.5%, Performance: 64.7%

Melhor Posicao: [793, 0.2768, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%

9* Interacao:
Posicao: [934, 0.286, 10, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 61.9%, Recall: 65.0%, Performance: 65.4%
Posicao: [780, 0.2802, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 74.8%, Precisao: 64.1%, Recall: 62.5%, Performance: 64.7%
Posicao: [676, 0.2687, 10, 0.5837, 0.5191, 3, 0, 3, 9] -> Acuracia: 73.9%, Precisao: 63.9%, Recall: 57.5%, Performance: 61.7%
Posicao: [918, 0.2496, 12, 0.573, 0.729, 3, 3, 1, 10] -> Acuracia: 74.8%, Precisao: 64.1%, Recall: 62.5%, Performance: 64.7%
Posicao: [961, 0.3, 12, 0.5, 0.5447, 4, 0, 0, 10] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
Posicao: [799, 0.2787, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [912, 0.2778, 12, 0.5, 0.5314, 2, 0, 0, 9] -> Acuracia: 73.9%, Precisao: 60.9%, Recall: 70.0%, Performance: 68.0%
Posicao: [824, 0.289, 10, 0.5265, 0.632, 2, 0, 1, 10] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [674, 0.3, 11, 0.5, 0.5047, 3, 0, 0, 10] -> Acuracia: 72.2%, Precisao: 59.5%, Recall: 62.5%, Performance: 63.0%
Posicao: [948, 0.2869, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 71.3%, Precisao: 58.1%, Recall: 62.5%, Performance: 62.5%

Melhor Posicao: [793, 0.2768, 11, 0.5, 0.5, 2, 0, 0, 10] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%

10* Interacao:
