1* Interacao:
Posicao: [50, 0.2931, 10, 0.001, 1.9797, 1] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
Posicao: [2000, 0.2239, 4, 20, 0.0, 0.1566] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%
Posicao: [2000, 0.1717, 3, 20, 0.0, 0.1777] -> Acuracia: 74.8%, Precisao: 64.1%, Recall: 62.5%, Performance: 64.7%

Melhor Posicao: [2000, 0.2051, 5, 20, 0.3899, 0.449] -> Acuracia: 78.3%, Precisao: 67.4%, Recall: 72.5%, Performance: 71.9%

5* Interacao:
Posicao: [2000, 0.2764, 4, 19.733, 1.0513, 0.7472] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%
Posicao: [2000, 0.3, 3, 20, 0.0, 0.0601] -> Acuracia: 75.7%, Precisao: 65.0%, Recall: 65.0%, Performance: 66.5%
Posicao: [2000, 0.2294, 6, 20, 0.9631, 0.9756] -> Acuracia: 77.4%, Precisao: 68.4%, Recall: 65.0%, Performance: 67.7%
Posicao: [2000, 0.2378, 6, 20, 0.0, 0.7279] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%
Posicao: [1873, 0.1661, 3, 20, 0.0, 0.1102] -> Acuracia: 73.9%, Precisao: 62.5%, Recall: 62.5%, Performance: 64.1%
Posicao: [2000, 0.0001, 4, 20, 5.8824, 1] -> Acuracia: 71.3%, Precisao: 65.2%, Recall: 37.5%, Performance: 50.2%
Posicao: [2000, 0.1938, 5, 20, 0.0, 0.3504] -> Acuracia: 76.5%, Precisao: 67.6%, Recall: 62.5%, Performance: 66.0%
Posicao: [50, 0.2459, 10, 0.001, 2.8777, 1] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
Posicao: [2000, 0.2084, 4, 20, 0.0, 0.3632] -> Acuracia: 76.5%, Precisao: 67.6%, Recall: 62.5%, Performance: 66.0%
Posicao: [2000, 0.2535, 7, 20, 0.0, 0.8092] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%

Melhor Posicao: [2000, 0.2051, 5, 20, 0.3899, 0.449] -> Acuracia: 78.3%, Precisao: 67.4%, Recall: 72.5%, Performance: 71.9%

6* Interacao:
Posicao: [2000, 0.3, 6, 19.6204, 1.686, 1] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
