1* Interacao:
Posicao: [30, 0, 0, 62] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [27, 0, 1, 55] -> Acuracia: 85.5%, Precisao: 80.0%, Recall: 0.6%, Performance: 35.4%
Posicao: [30, 0, 1, 52] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [25, 1, 2, 23] -> Acuracia: 85.5%, Precisao: 63.6%, Recall: 1.1%, Performance: 31.0%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

6* Interacao:
Posicao: [22, 1, 0, 10] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 53] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 52] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [21, 1, 0, 18] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 1.2%, Performance: 29.2%
Posicao: [30, 0, 1, 32] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 0, 65] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [28, 0, 2, 47] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 58] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [24, 1, 2, 26] -> Acuracia: 85.6%, Precisao: 62.5%, Recall: 1.5%, Performance: 30.9%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

7* Interacao:
Posicao: [22, 1, 0, 10] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 52] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 2, 51] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 55] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [23, 1, 0, 27] -> Acuracia: 85.5%, Precisao: 63.6%, Recall: 1.1%, Performance: 31.0%
Posicao: [30, 0, 1, 36] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 46] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 2, 43] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 35] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [21, 1, 2, 26] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 1.2%, Performance: 29.2%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

8* Interacao:
Posicao: [22, 1, 0, 10] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 2, 50] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 56] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [26, 1, 0, 37] -> Acuracia: 85.5%, Precisao: 60.0%, Recall: 0.9%, Performance: 29.9%
Posicao: [30, 0, 1, 64] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 2, 35] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [28, 0, 0, 54] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 49] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [19, 1, 2, 25] -> Acuracia: 85.5%, Precisao: 58.8%, Recall: 1.5%, Performance: 29.9%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

9* Interacao:
Posicao: [22, 1, 0, 10] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
Posicao: [30, 0, 1, 44] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 47] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 56] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [27, 1, 0, 39] -> Acuracia: 85.5%, Precisao: 57.1%, Recall: 0.6%, Performance: 28.9%
Posicao: [30, 0, 1, 59] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [30, 0, 1, 42] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [26, 0, 0, 62] -> Acuracia: 85.5%, Precisao: 66.7%, Recall: 0.3%, Performance: 31.4%
Posicao: [30, 0, 1, 55] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%
Posicao: [18, 1, 2, 24] -> Acuracia: 85.4%, Precisao: 47.4%, Recall: 1.4%, Performance: 26.5%

Melhor Posicao: [30, 0, 1, 48] -> Acuracia: 85.5%, Precisao: 100.0%, Recall: 0.5%, Performance: 41.1%

10* Interacao:
Posicao: [22, 1, 0, 11] -> Acuracia: 85.6%, Precisao: 66.7%, Recall: 1.5%, Performance: 32.1%
