1* Interacao:
Posicao: [100, 0.01, 128, 15, 1, 0.6615, 19, 0.6346, 3.7672] -> Acuracia: 73.9%, Precisao: 72.7%, Recall: 40.0%, Performance: 54.2%
Posicao: [870, 0.1534, 90, 15, 0.8243, 0.6693, 31, 2.853, 1.6233] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [496, 0.1105, 105, 15, 0.9051, 0.6135, 31, 2.0354, 1.6807] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [471, 0.0779, 121, 15, 0.9053, 0.5625, 34, 1.7157, 1.461] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [1153, 0.1974, 110, 15, 1, 0.5844, 41, 1.1476, 3.3536] -> Acuracia: 77.4%, Precisao: 68.4%, Recall: 65.0%, Performance: 67.7%
Posicao: [404, 0.01, 128, 3, 0.7043, 0.7274, 31, 5, 0.0] -> Acuracia: 73.9%, Precisao: 64.7%, Recall: 55.0%, Performance: 60.5%
Posicao: [349, 0.106, 99, 15, 0.9032, 0.6192, 32, 2.0722, 1.6008] -> Acuracia: 75.7%, Precisao: 64.3%, Recall: 67.5%, Performance: 67.8%
Posicao: [100, 0.0488, 128, 15, 0.9564, 0.5271, 31, 0.8094, 2.5632] -> Acuracia: 75.7%, Precisao: 68.8%, Recall: 55.0%, Performance: 61.9%
Posicao: [190, 0.1383, 95, 15, 1, 0.6312, 36, 0.854, 1.4645] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

5* Interacao:
Posicao: [613, 0.01, 128, 15, 1, 0.7322, 43, 2.5385, 2.1193] -> Acuracia: 78.3%, Precisao: 69.2%, Recall: 67.5%, Performance: 69.5%
Posicao: [212, 0.1604, 102, 15, 1, 0.5475, 45, 1.6123, 0.6855] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [1023, 0.153, 95, 15, 0.8145, 0.6449, 33, 2.9623, 1.3564] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [563, 0.1028, 108, 15, 0.8896, 0.6059, 28, 2.5326, 1.44] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [723, 0.0193, 128, 15, 0.8446, 0.5, 34, 2.2298, 0.7045] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [647, 0.1201, 91, 15, 0.983, 0.6706, 30, 2.2328, 1.7028] -> Acuracia: 79.1%, Precisao: 70.0%, Recall: 70.0%, Performance: 71.3%
Posicao: [629, 0.0114, 128, 3, 0.7486, 0.7543, 27, 4.4385, 0.2404] -> Acuracia: 74.8%, Precisao: 65.7%, Recall: 57.5%, Performance: 62.3%
Posicao: [599, 0.1488, 92, 15, 0.8438, 0.6551, 32, 2.8914, 1.4761] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [913, 0.2092, 71, 15, 0.8411, 0.737, 35, 2.9813, 0.8906] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [615, 0.1254, 100, 15, 0.8898, 0.6278, 33, 2.0608, 1.7674] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%

