iter	Logloss
0	0.6453084542
1	0.6013422154
2	0.564559954
3	0.5357679967
4	0.5101679688
5	0.4879385463
6	0.4725981445
7	0.4573897879
8	0.4395350167
9	0.4279985003
10	0.4199416853
11	0.4118766741
12	0.4035613839
13	0.3962671596
14	0.3894776786
15	0.3816803153
16	0.377183524
17	0.3726599819
18	0.3683125698
19	0.365086356
20	0.3616635393
21	0.3593182199
22	0.3552247838
23	0.351861363
24	0.3478565848
25	0.3463468541
26	0.3429524275
27	0.3392683105
28	0.3371444615
29	0.3352288644
30	0.3334535784
31	0.3323305664
32	0.3298572475
33	0.3282512556
34	0.3266033064
35	0.3242348982
36	0.3226751186
37	0.3203952985
38	0.3190105329
39	0.3179905134
40	0.3149736677
41	0.3139746791
42	0.3122487444
43	0.3097296666
44	0.3078553292
45	0.3068300084
46	0.3055145089
47	0.3040575823
48	0.3025608259
49	0.3014794922
50	0.3000715681
51	0.298867048
52	0.2971540179
53	0.2958785575
54	0.2946879185
55	0.2942807617
56	0.2926449498
57	0.2915036098
58	0.2909890834
59	0.289640189
60	0.2891382185
61	0.2873239746
62	0.2865190081
63	0.2853677455
64	0.2841077009
65	0.2824205148
66	0.2817104492
67	0.2805732771
68	0.2792524065
69	0.2772558943
70	0.276169887
71	0.275288923
72	0.2745885533
73	0.2738529053
74	0.2727042062
75	0.2712924107
76	0.2703905204
77	0.2692482387
78	0.2682586844
79	0.2674403948
80	0.267193621
81	0.2665589948
82	0.2654049595
83	0.2645913435
84	0.2633203997
85	0.262560512
86	0.2617729841
87	0.2611054862
88	0.2604720808
89	0.2598992222
90	0.2592647182
91	0.2582308698
92	0.2574225028
93	0.2564485212
94	0.2557970843
95	0.2542884521
96	0.2537645438
97	0.253028704
98	0.2517198835
99	0.251325143
100	0.2510408936
101	0.2502415248
102	0.2491873256
103	0.2480925991
104	0.2473008336
105	0.2464955183
106	0.2460693185
107	0.2457472447
108	0.2452062291
109	0.2445575823
110	0.243937064
111	0.2434741908
112	0.243017334
113	0.2418106864
114	0.2407219238
115	0.2394248396
116	0.2388979143
117	0.2379144113
118	0.2369958496
119	0.236007952
120	0.2349711217
121	0.2343269566
122	0.2333837891
123	0.2315281808
124	0.23071024
125	0.2301516113
126	0.2295773228
127	0.2289474051
128	0.227526001
129	0.2260318778
130	0.2251975098
131	0.2241179199
132	0.2234143066
133	0.222052839
134	0.2212478376
135	0.220398734
136	0.219432094
137	0.2188360247
138	0.2180280413
139	0.2166796177
140	0.2154586356
141	0.2144557408
142	0.2130606515
143	0.2124375349
144	0.2116932199
145	0.2103170689
146	0.2083643973
147	0.2072933524
148	0.2066898891
149	0.205071446
150	0.2042116699
151	0.2027074498
152	0.2018548235
153	0.201394758
154	0.2005266288
155	0.1997596087
156	0.1993767439
157	0.1985603725
158	0.1975397252
159	0.1967311314
160	0.1961434152
161	0.1950914481
162	0.1942281494
163	0.1933154994
164	0.1926594936
165	0.1916316267
166	0.1912491281
167	0.1904509452
168	0.1901529367
169	0.189414917
170	0.1887630092
171	0.1876795131
172	0.1866710728
173	0.185877546
174	0.1848346994
175	0.1845752302
176	0.1842640206
177	0.1841314348
178	0.1832130476
179	0.1823578055
180	0.1816374163
181	0.1810460728
182	0.1807886265
183	0.1802177386
184	0.1795222517
185	0.1791044399
186	0.1782751465
187	0.177587786
188	0.176684239
189	0.1759219971
190	0.1747360317
191	0.1743300084
192	0.1735026158
193	0.172537772
194	0.1719457659
195	0.1714379708
196	0.1705851353
197	0.1705519671
198	0.1695529785
199	0.1684370466
200	0.167811785
201	0.1674362095
202	0.166551566
203	0.1657088797
204	0.1655293666
205	0.1647074672
206	0.1639128069
207	0.1630353306
208	0.162181257
209	0.162121024
210	0.1614875837
211	0.1611889997
212	0.1599878976
213	0.1598331822
214	0.1595836356
215	0.1593031006
216	0.1588222307
217	0.1580590123
218	0.1577666364
219	0.1570612619
220	0.1567416992
221	0.1564132603
222	0.155380964
223	0.1548501674
224	0.1539680699
225	0.1539014544
226	0.1538365479
227	0.153759661
228	0.153237514
229	0.152766183
230	0.1522966657
231	0.1519981689
232	0.1513804932
233	0.1512852609
234	0.1507504185
235	0.1507419782
236	0.150046317
237	0.149470459
238	0.1488362863
239	0.1488043387
240	0.1482903181
241	0.1480118234
242	0.14752274
243	0.1474961286
244	0.1474422433
245	0.1467986363
246	0.1464970878
247	0.1456127232
248	0.1451380964
249	0.1447366507
250	0.1440451835
251	0.1436197423
252	0.143232823
253	0.1426193935
254	0.1421689104
255	0.1421212333
256	0.1418102155
257	0.1412575858
258	0.1409502825
259	0.1408329555
260	0.1401779349
261	0.1393893781
262	0.1389738334
263	0.1385305525
264	0.1382532087
265	0.137731733
266	0.1375040806
267	0.1371077271
268	0.1367091064
269	0.1364254325
270	0.1357020264
271	0.1352845372
272	0.1350437884
273	0.1344116298
274	0.1338783308
275	0.1335625349
276	0.1329404994
277	0.132660226
278	0.1319108538
279	0.1314112898
280	0.1307420916
281	0.1301107527
282	0.1295360805
283	0.1291221749
284	0.128736302
285	0.1281703753
286	0.1277152972
287	0.1274506662
288	0.127362636
289	0.1270643921
290	0.1266048584
291	0.1258844256
292	0.1254802246
293	0.1252164655
294	0.124510376
295	0.1241300834
296	0.1238275146
297	0.12331713
298	0.1230305176
299	0.122582816
300	0.1218253174
301	0.1213829694
302	0.1210756487
303	0.1207527989
304	0.1203258057
305	0.1199176461
306	0.1198130755
307	0.1196226283
308	0.1192875628
309	0.1187743094
310	0.1186809954
311	0.118303057
312	0.118106175
313	0.1178277414
314	0.1175415388
315	0.1171218436
316	0.1169302979
317	0.1166579677
318	0.1161002197
319	0.1157217669
320	0.1156626151
321	0.11537003
322	0.1147971453
323	0.1144741821
324	0.1140255301
325	0.1136988351
326	0.1136073696
327	0.1133338972
328	0.1132668108
329	0.1127657471
330	0.1125870361
331	0.1124056396
332	0.112192531
333	0.1117350028
334	0.1115076294
335	0.1112759835
336	0.1109362706
337	0.1102538016
338	0.1102474888
339	0.1096754586
340	0.1092057931
341	0.1089176985
342	0.1088845215
343	0.1088742589
344	0.1084637974
345	0.1084109323
346	0.1081829485
347	0.1080218506
348	0.1075761544
349	0.1073637347
350	0.1071689104
351	0.1069990409
352	0.1066668701
353	0.1061900984
354	0.1056904471
355	0.1053099104
356	0.1052848947
357	0.1049701102
358	0.1046088518
359	0.1044391392
360	0.1039268712
361	0.1036248954
362	0.1032316807
363	0.1028665423
364	0.1028427909
365	0.1028023507
366	0.1025604946
367	0.1021635481
368	0.102142395
369	0.1018710066
370	0.1017371041
371	0.1017271903
372	0.101166469
373	0.100904201
374	0.1005010812
375	0.1004813232
376	0.1000271519
377	0.09965972028
378	0.0993538644
379	0.09900272042
380	0.09867816162
381	0.09813704136
382	0.09748029436
383	0.09720225307
384	0.09697106062
385	0.09667654855
386	0.09651664516
387	0.0965050136
388	0.09615495082
389	0.09584969657
390	0.0958235648
391	0.09561310686
392	0.095204119
393	0.09477348982
394	0.09450448172
395	0.09422948347
396	0.09396419852
397	0.09364001465
398	0.09333952114
399	0.09301796177
400	0.09269606236
401	0.09250924247
402	0.09216931152
403	0.09214923968
404	0.09188647461
405	0.09153375244
406	0.09116590227
407	0.09076334926
408	0.09042731585
409	0.09017061942
410	0.0896927403
411	0.08955165318
412	0.08922054618
413	0.08877520752
414	0.08849733189
415	0.08818075126
416	0.08785240827
417	0.08740391323
418	0.08725071498
419	0.08694968087
420	0.08635912214
421	0.08610871233
422	0.08609368025
423	0.08572957938
424	0.0854528983
425	0.08507277134
426	0.08490363421
427	0.08453796387
428	0.08450685338
429	0.08433483887
430	0.08424184745
431	0.08406879534
432	0.08381090437
433	0.08354686628
434	0.08344200788
435	0.08310151018
436	0.08308289446
437	0.08262904576
438	0.08212444196
439	0.08193790109
440	0.08167993164
441	0.08154439872
442	0.08125479562
443	0.08111180769
444	0.08101525879
445	0.08073455811
446	0.08049611119
447	0.08024785505
448	0.08005295236
449	0.07986934989
450	0.07967757743
451	0.07942109026
452	0.07918824986
453	0.07887510463
454	0.07865284075
455	0.07849527414
456	0.07823556083
457	0.0781204398
458	0.07776368931
459	0.07762717983
460	0.07723423549
461	0.07706116595
462	0.07686848668
463	0.07649534389
464	0.07609645299
465	0.0758286656
466	0.07549086217
467	0.07528587123
468	0.07505420794
469	0.07471201869
470	0.07448890904
471	0.07426747349
472	0.07402587891
473	0.07382979911
474	0.07373060826
475	0.07331989397
476	0.07291447231
477	0.07288868931
478	0.07256671579
479	0.07242953927
480	0.0721835022
481	0.07193709891
482	0.07163383266
483	0.0712406747
484	0.07098574393
485	0.07063100324
486	0.07038733346
487	0.07013065011
488	0.06991161237
489	0.06965008545
490	0.06938035366
491	0.06901464844
492	0.06870177351
493	0.06848866054
494	0.06817372785
495	0.06791842651
496	0.06779110282
497	0.06756502424
498	0.0672802778
499	0.06716774205
500	0.06693441772
501	0.06670574079
502	0.06653814697
503	0.06622710746
504	0.06604658726
505	0.06593349348
506	0.06574861799
507	0.06555681065
508	0.06537432425
509	0.06516752407
510	0.06499506051
511	0.06482472011
512	0.0647008449
513	0.06449039568
514	0.06429913766
515	0.06418750436
516	0.06409940883
517	0.06393270438
518	0.06365474592
519	0.06345715768
520	0.06325697981
521	0.06305931745
522	0.06291206142
523	0.0627744751
524	0.06271177891
525	0.06256407819
526	0.06246879796
527	0.06235550363
528	0.06211308943
529	0.06191365705
530	0.06177088274
531	0.06168357195
532	0.0615040414
533	0.0613125
534	0.0611965332
535	0.06118980626
536	0.0609976981
537	0.06090776716
538	0.06079207066
539	0.06075306048
540	0.06066106306
541	0.06058658273
542	0.06045771136
543	0.06038148281
544	0.06015288435
545	0.06000919887
546	0.06000779942
547	0.05996922956
548	0.05991539655
549	0.05983878871
550	0.05978833008
551	0.05965900966
552	0.05945513044
553	0.05921273804
554	0.05907139369
555	0.05885670689
556	0.05877308437
557	0.05871394566
558	0.05860196359
559	0.05836801583
560	0.05830109515
561	0.05827410017
562	0.05805350167
563	0.05794996861
564	0.0577665972
565	0.05759086391
566	0.05743997628
567	0.05731033761
568	0.05716450283
569	0.05705585153
570	0.05700639997
571	0.0568958653
572	0.05689075579
573	0.05681345912
574	0.05662970843
575	0.05646257673
576	0.05624252755
577	0.05611064366
578	0.05594652448
579	0.05573684692
580	0.05565466309
581	0.05550963048
582	0.05550487845
583	0.05534359305
584	0.05518830654
585	0.05513644845
586	0.05498050799
587	0.05489328439
588	0.05478064837
589	0.05457251848
590	0.0544669887
591	0.05433889335
592	0.0542417341
593	0.05405684117
594	0.05390792411
595	0.05372538539
596	0.05369710868
597	0.05354276821
598	0.05339222063
599	0.05316688756
600	0.05301170131
601	0.0528740278
602	0.05281698608
603	0.05271667916
604	0.05265229143
605	0.05258301217
606	0.05238052804
607	0.05229928153
608	0.05214974976
609	0.05199762399
610	0.05183550589
611	0.05158581979
612	0.05145995658
613	0.05134115601
614	0.05124644252
615	0.05109542411
616	0.05100834438
617	0.05092453439
618	0.05081569999
619	0.05070043073
620	0.0505723005
621	0.05040641567
622	0.05031990269
623	0.05013524955
624	0.05000900705
625	0.04983486503
626	0.04976292201
627	0.049594247
628	0.04950744629
629	0.04943585641
630	0.04941234044
631	0.04932666016
632	0.04922706822
633	0.04904716274
634	0.04894722203
635	0.04883212716
636	0.04869287981
637	0.04849098424
638	0.04842841012
639	0.04834033639
640	0.04813721139
641	0.0481119254
642	0.04803059605
643	0.04792814418
644	0.047920881
645	0.04784865897
646	0.04778360857
647	0.04770760672
648	0.04760916574
649	0.04756504604
650	0.04748310198
651	0.04732147217
652	0.04725430734
653	0.04707325527
654	0.04694538661
655	0.04681106131
656	0.04670268032
657	0.04665753174
658	0.04646122524
659	0.0463538862
660	0.04627455793
661	0.04611787633
662	0.04594288417
663	0.04580684117
664	0.04567457799
665	0.04553593663
666	0.04542526681
667	0.04541480364
668	0.04534409005
669	0.04527376447
670	0.04519024658
671	0.04508399745
672	0.04503972953
673	0.04503406634
674	0.04494235665
675	0.04487610735
676	0.0447810451
677	0.04460159738
678	0.04458617292
